,Iteration,Time,Learning Rate,Batch Size,Train Loss,Val Loss
0,0.0,0.0049179,0.0,1.0,0.0,10.982
1,961.0,720.47,0.00059996,1.0,0.0,6.3213
2,1920.0,1440.2,0.0005997,1.0,0.0,6.1589
3,2879.0,2160.7,0.00059923,1.0,0.0,5.9707
4,3837.0,2880.8,0.00059854,1.0,0.0,5.8163
5,4796.0,3600.5,0.00059762,1.0,0.0,5.6914
6,5756.0,4320.5,0.00059649,1.0,0.0,5.5897
7,6713.0,5040.6,0.00059514,1.0,0.0,5.4757
8,7671.0,5760.6,0.00059357,1.0,0.0,5.3705
9,8626.0,6480.2,0.00059178,1.0,0.0,5.3688
10,9585.0,7200.4,0.00058978,1.0,0.0,5.3009
11,10543.0,7920.3,0.00058756,1.0,0.0,5.1443
12,11503.0,8640.6,0.00058514,1.0,0.0,5.1378
13,12461.0,9360.1,0.0005825,1.0,0.0,5.0617
14,13420.0,10080.0,0.00057966,1.0,0.0,5.0402
15,14380.0,10800.0,0.00057661,1.0,0.0,5.0475
16,15335.0,11520.0,0.00057336,1.0,0.0,4.984
17,16293.0,12241.0,0.00056991,1.0,0.0,4.9679
18,17248.0,12960.0,0.00056626,1.0,0.0,4.967
19,18205.0,13681.0,0.00056242,1.0,0.0,4.9152
20,19163.0,14400.0,0.00055839,1.0,0.0,4.9184
21,20121.0,15121.0,0.00055417,1.0,0.0,4.9055
22,21079.0,15840.0,0.00054976,1.0,0.0,4.9084
23,22036.0,16560.0,0.00054518,1.0,0.0,4.8919
24,22994.0,17281.0,0.00054042,1.0,0.0,4.8621
25,23953.0,18000.0,0.00053548,1.0,0.0,4.842
26,24909.0,18720.0,0.00053038,1.0,0.0,4.8381
27,25867.0,19441.0,0.00052511,1.0,0.0,4.8011
28,26823.0,20161.0,0.00051968,1.0,0.0,4.7673
29,27780.0,20880.0,0.0005141,1.0,0.0,4.8104
30,28736.0,21600.0,0.00050837,1.0,0.0,4.8034
31,29693.0,22321.0,0.00050249,1.0,0.0,4.7663
32,30650.0,23041.0,0.00049646,1.0,0.0,4.7604
33,31606.0,23760.0,0.00049031,1.0,0.0,4.766
34,32562.0,24480.0,0.00048402,1.0,0.0,4.7415
35,33519.0,25200.0,0.0004776,1.0,0.0,4.7263
36,34477.0,25921.0,0.00047106,1.0,0.0,4.7456
37,35431.0,26640.0,0.00046441,1.0,0.0,4.7442
38,36386.0,27360.0,0.00045764,1.0,0.0,4.7117
39,37339.0,28080.0,0.00045078,1.0,0.0,4.68
40,38294.0,28800.0,0.0004438,1.0,0.0,4.6971
41,39250.0,29520.0,0.00043675,1.0,0.0,4.6891
42,40205.0,30240.0,0.0004296,1.0,0.0,4.6289
43,41162.0,30961.0,0.00042236,1.0,0.0,4.6472
44,42118.0,31681.0,0.00041505,1.0,0.0,4.6936
45,43073.0,32400.0,0.00040768,1.0,0.0,4.6088
46,44030.0,33121.0,0.00040023,1.0,0.0,4.6634
47,44986.0,33841.0,0.00039274,1.0,0.0,4.6693
48,45939.0,34560.0,0.00038519,1.0,0.0,4.619
49,46894.0,35280.0,0.00037759,1.0,0.0,4.6225
50,47847.0,36000.0,0.00036996,1.0,0.0,4.598
51,48803.0,36720.0,0.00036229,1.0,0.0,4.5803
52,49758.0,37440.0,0.0003546,1.0,0.0,4.5705
53,50713.0,38160.0,0.00034689,1.0,0.0,4.6552
54,51669.0,38881.0,0.00033916,1.0,0.0,4.6148
55,52623.0,39600.0,0.00033142,1.0,0.0,4.5693
56,53579.0,40321.0,0.00032368,1.0,0.0,4.5401
57,54533.0,41040.0,0.00031595,1.0,0.0,4.5483
58,55487.0,41760.0,0.00030824,1.0,0.0,4.5589
59,56439.0,42480.0,0.00030054,1.0,0.0,4.5079
60,57394.0,43200.0,0.00029286,1.0,0.0,4.505
61,58350.0,43921.0,0.00028521,1.0,0.0,4.5565
62,59304.0,44640.0,0.0002776,1.0,0.0,4.5234
63,60258.0,45360.0,0.00027003,1.0,0.0,4.5093
64,61213.0,46080.0,0.00026251,1.0,0.0,4.4748
65,62168.0,46801.0,0.00025505,1.0,0.0,4.5317
66,63122.0,47520.0,0.00024765,1.0,0.0,4.5426
67,64074.0,48240.0,0.00024032,1.0,0.0,4.5042
68,65027.0,48960.0,0.00023306,1.0,0.0,4.4582
69,65980.0,49681.0,0.00022587,1.0,0.0,4.4528
70,66934.0,50401.0,0.00021878,1.0,0.0,4.4436
71,67888.0,51121.0,0.00021177,1.0,0.0,4.4691
72,68841.0,51840.0,0.00020487,1.0,0.0,4.4432
73,69795.0,52560.0,0.00019807,1.0,0.0,4.4104
74,70751.0,53281.0,0.00019137,1.0,0.0,4.4312
75,71703.0,54000.0,0.00018479,1.0,0.0,4.3848
76,72656.0,54720.0,0.00017833,1.0,0.0,4.4352
77,73607.0,55440.0,0.00017199,1.0,0.0,4.3731
78,74560.0,56161.0,0.00016578,1.0,0.0,4.3896
79,75512.0,56881.0,0.00015971,1.0,0.0,4.3861
80,76464.0,57600.0,0.00015378,1.0,0.0,4.3515
81,77418.0,58320.0,0.00014799,1.0,0.0,4.3785
82,78370.0,59040.0,0.00014235,1.0,0.0,4.3518
83,79323.0,59760.0,0.00013686,1.0,0.0,4.3538
84,80275.0,60481.0,0.00013153,1.0,0.0,4.3258
85,81227.0,61200.0,0.00012637,1.0,0.0,4.3603
86,82179.0,61920.0,0.00012138,1.0,0.0,4.3413
87,83130.0,62641.0,0.00011655,1.0,0.0,4.3543
88,84081.0,63360.0,0.0001119,1.0,0.0,4.303
89,85034.0,64080.0,0.00010743,1.0,0.0,4.3192
90,85986.0,64800.0,0.00010314,1.0,0.0,4.2813
91,86939.0,65520.0,9.9042e-05,1.0,0.0,4.2637
92,87893.0,66241.0,9.5128e-05,1.0,0.0,4.2716
93,88843.0,66960.0,9.141e-05,1.0,0.0,4.2928
94,89795.0,67680.0,8.7887e-05,1.0,0.0,4.2267
95,90747.0,68401.0,8.4561e-05,1.0,0.0,4.2394
96,91698.0,69120.0,8.1439e-05,1.0,0.0,4.2534
97,92650.0,69840.0,7.8521e-05,1.0,0.0,4.2241
98,93604.0,70561.0,7.5807e-05,1.0,0.0,4.2371
99,94556.0,71280.0,7.3305e-05,1.0,0.0,4.2268
100,95509.0,72000.0,7.1012e-05,1.0,0.0,4.2059
101,96463.0,72720.0,6.8931e-05,1.0,0.0,4.2161
102,97417.0,73441.0,6.7064e-05,1.0,0.0,4.2308
103,98369.0,74160.0,6.5414e-05,1.0,0.0,4.2335
104,99322.0,74881.0,6.3981e-05,1.0,0.0,4.2078
105,100270.0,75600.0,6.2767e-05,1.0,0.0,4.2144
106,101220.0,76320.0,6.1772e-05,1.0,0.0,4.221
107,102180.0,77041.0,6.0997e-05,1.0,0.0,4.2178
108,103130.0,77760.0,6.0444e-05,1.0,0.0,4.1906
109,104080.0,78480.0,6.0111e-05,1.0,0.0,4.2082
110,104880.0,79080.0,6.0003e-05,1.0,0.0,4.1923
111,104890.0,79091.0,6.0003e-05,1.0,0.0,4.2011
112,104900.0,79100.0,6.0002e-05,1.0,0.0,4.1851
113,104920.0,79111.0,6.0002e-05,1.0,0.0,4.255
114,104930.0,79120.0,6.0001e-05,1.0,0.0,4.2101
115,104940.0,79131.0,6.0001e-05,1.0,0.0,4.1499
116,104960.0,79141.0,6.0001e-05,1.0,0.0,4.1904
117,104970.0,79150.0,6.0001e-05,1.0,0.0,4.1707
118,104980.0,79160.0,6e-05,1.0,0.0,4.1644
119,105000.0,79171.0,6e-05,1.0,0.0,4.1832
120,105010.0,79180.0,6e-05,1.0,0.0,4.1962
121,105020.0,79190.0,6e-05,1.0,0.0,4.1852
