,Iteration,Time,Learning Rate,Batch Size,Train Loss,Val Loss
0,0.0,0.0058637,0.0,1.0,-100.0,10.963
1,370.0,720.15,0.00059996,2.0,0.44604,6.1296
2,740.0,1441.8,0.0005997,2.0,0.44603,5.707
3,1109.0,2160.8,0.00059923,2.0,0.44512,5.4468
4,1423.0,2880.0,0.00059854,3.0,0.44485,5.1974
5,1670.0,3601.4,0.00059763,3.0,0.44586,5.0851
6,1916.0,4320.0,0.00059649,3.0,0.4461,4.9138
7,2163.0,5042.0,0.00059514,3.0,0.44619,4.8388
8,2354.0,5760.7,0.00059357,4.0,0.44316,4.6605
9,2540.0,6483.3,0.00059178,4.0,0.44557,4.6312
10,2725.0,7202.1,0.00058978,4.0,0.44657,4.5447
11,2898.0,7924.3,0.00058756,5.0,0.44626,4.4848
12,3046.0,8642.3,0.00058515,5.0,0.44751,4.4587
13,3194.0,9361.5,0.00058251,5.0,0.44399,4.4333
14,3342.0,10081.0,0.00057967,5.0,0.4471,4.3386
15,3471.0,10805.0,0.00057661,6.0,0.44428,4.3299
16,3594.0,11522.0,0.00057338,6.0,0.44686,4.266
17,3718.0,12244.0,0.00056991,6.0,0.4475,4.2883
18,3837.0,12964.0,0.00056628,7.0,0.44636,4.2048
19,3943.0,13684.0,0.00056243,7.0,0.44729,4.1492
20,4049.0,14404.0,0.0005584,7.0,0.44672,4.1307
21,4155.0,15124.0,0.00055418,7.0,0.44717,4.1486
22,4252.0,15846.0,0.00054977,8.0,0.44696,4.1289
23,4344.0,16562.0,0.00054521,8.0,0.44684,4.0699
24,4437.0,17285.0,0.00054044,8.0,0.4471,4.128
25,4528.0,18004.0,0.00053551,9.0,0.4471,4.0578
26,4610.0,18721.0,0.00053043,9.0,0.44584,4.0834
27,4693.0,19447.0,0.00052513,9.0,0.44722,4.0221
28,4775.0,20163.0,0.00051973,9.0,0.44752,4.0176
29,4853.0,20888.0,0.00051412,10.0,0.44772,3.989
30,4927.0,21605.0,0.0005084,10.0,0.44774,3.975
