,Iteration,Time,Learning Rate,Batch Size,Train Loss,Val Loss
0,0.0,0.0092008,0.0,1.0,-100.0,10.538
1,309.0,720.44,0.00059996,2.0,0.43879,6.0985
2,617.0,1442.3,0.0005997,2.0,0.4401,5.6821
3,924.0,2161.6,0.00059923,2.0,0.43308,5.3634
4,1185.0,2880.4,0.00059854,3.0,0.43576,5.1401
5,1391.0,3603.3,0.00059762,3.0,0.4212,4.93
6,1596.0,4323.1,0.00059649,3.0,0.43933,4.8169
7,1801.0,5043.0,0.00059514,3.0,0.43499,4.6891
8,1960.0,5762.5,0.00059357,4.0,0.4418,4.5321
9,2114.0,6483.0,0.00059178,4.0,0.43841,4.5094
10,2268.0,7203.7,0.00058978,4.0,0.43516,4.4465
11,2411.0,7922.8,0.00058757,5.0,0.43784,4.3792
12,2534.0,8642.3,0.00058515,5.0,0.44417,4.3388
13,2657.0,9361.6,0.00058252,5.0,0.43766,4.3131
14,2780.0,10081.0,0.00057968,5.0,0.43404,4.268
15,2887.0,10802.0,0.00057663,6.0,0.43814,4.2145
16,2990.0,11524.0,0.00057337,6.0,0.43972,4.2194
17,3092.0,12240.0,0.00056994,6.0,0.43427,4.1532
18,3192.0,12968.0,0.00056626,7.0,0.44062,4.1351
19,3279.0,13681.0,0.00056246,7.0,0.43865,4.1071
20,3367.0,14402.0,0.00055842,7.0,0.43561,4.1114
21,3455.0,15123.0,0.0005542,7.0,0.4376,4.0962
22,3535.0,15840.0,0.00054982,8.0,0.43816,4.0765
23,3612.0,16562.0,0.00054523,8.0,0.43871,4.0474
24,3689.0,17283.0,0.00054046,8.0,0.43773,4.1017
25,3765.0,18006.0,0.00053551,9.0,0.43799,4.0002
26,3833.0,18723.0,0.00053043,9.0,0.43889,4.0072
27,3902.0,19450.0,0.00052512,9.0,0.43935,3.977
28,3970.0,20166.0,0.00051972,9.0,0.43739,3.9811
29,4034.0,20884.0,0.00051416,10.0,0.43514,3.9612
30,4096.0,21610.0,0.00050838,10.0,0.43928,3.9393
31,4157.0,22325.0,0.00050254,10.0,0.43821,3.9609
32,4218.0,23042.0,0.00049656,11.0,0.43726,3.8976
33,4274.0,23763.0,0.00049039,11.0,0.43815,3.9245
34,4330.0,24485.0,0.00048408,11.0,0.43984,3.9211
35,4386.0,25206.0,0.00047766,11.0,0.43864,3.8649
36,4440.0,25932.0,0.00047107,12.0,0.43744,3.8446
37,4491.0,26649.0,0.00046445,12.0,0.43861,3.8467
38,4542.0,27366.0,0.00045772,12.0,0.43934,3.8531
39,4593.0,28083.0,0.00045088,12.0,0.43789,3.8448
40,4641.0,28810.0,0.00044385,13.0,0.43813,3.8713
41,4688.0,29526.0,0.00043683,13.0,0.43747,3.8455
42,4735.0,30242.0,0.00042972,13.0,0.43815,3.8191
43,4781.0,30962.0,0.0004225,14.0,0.43866,3.8442
44,4825.0,31684.0,0.00041518,14.0,0.43596,3.8237
45,4869.0,32404.0,0.0004078,14.0,0.43899,3.8025
46,4913.0,33126.0,0.00040035,14.0,0.43824,3.8096
47,4955.0,33854.0,0.00039277,15.0,0.43697,3.7743
48,4996.0,34574.0,0.00038522,15.0,0.4377,3.7701
49,5037.0,35294.0,0.00037763,15.0,0.433,3.7451
50,5077.0,36011.0,0.00037004,16.0,0.43765,3.7807
