,Iteration,Time,Learning Rate,Batch Size,Train Loss,Val Loss
0,0.0,0.006505,0.0,32.0,-100.0,10.478
1,20.0,739.25,0.00059996,32.0,0.45209,2.4284
2,39.0,1442.0,0.00059972,32.0,0.45172,2.3352
3,59.0,2182.8,0.00059924,32.0,0.45112,2.1996
4,78.0,2887.0,0.00059857,32.0,0.45106,1.8622
5,98.0,3628.5,0.00059764,32.0,0.45062,1.8484
6,117.0,4333.0,0.00059653,32.0,0.45066,1.857
7,137.0,5074.7,0.00059514,32.0,0.45047,1.8488
8,156.0,5779.4,0.00059361,32.0,0.45049,1.856
9,175.0,6483.9,0.00059187,32.0,0.45076,1.8361
10,195.0,7225.6,0.00058981,32.0,0.45033,1.843
11,214.0,7930.3,0.00058765,32.0,0.45035,1.8517
12,234.0,8672.2,0.00058515,32.0,0.45036,1.8475
13,253.0,9377.2,0.00058258,32.0,0.45014,1.8401
14,272.0,10082.0,0.0005798,32.0,0.45027,1.8402
15,292.0,10825.0,0.00057666,32.0,0.45002,1.8402
16,311.0,11530.0,0.00057348,32.0,0.44983,1.8366
17,331.0,12273.0,0.00056993,32.0,0.44981,1.829
18,350.0,12979.0,0.00056635,32.0,0.44992,1.8247
19,369.0,13685.0,0.00056259,32.0,0.44969,1.8292
20,389.0,14428.0,0.00055844,32.0,0.44983,1.8041
21,408.0,15134.0,0.00055431,32.0,0.44985,1.7833
22,428.0,15877.0,0.00054976,32.0,0.44975,1.7552
23,447.0,16583.0,0.00054527,32.0,0.44972,1.703
24,466.0,17289.0,0.0005406,32.0,0.44953,1.6938
25,486.0,18033.0,0.00053551,32.0,0.44975,1.6429
26,505.0,18740.0,0.00053051,32.0,0.44958,1.621
27,524.0,19446.0,0.00052534,32.0,0.44969,1.6024
28,544.0,20190.0,0.00051974,32.0,0.44921,1.5806
29,563.0,20896.0,0.00051426,32.0,0.44924,1.5662
30,582.0,21603.0,0.00050864,32.0,0.44923,1.573
31,602.0,22347.0,0.00050257,32.0,0.44928,1.5481
32,621.0,23054.0,0.00049666,32.0,0.44917,1.5389
33,640.0,23761.0,0.00049062,32.0,0.44908,1.5436
34,660.0,24505.0,0.00048412,32.0,0.4492,1.5347
35,679.0,25212.0,0.00047783,32.0,0.44944,1.5127
36,699.0,25956.0,0.00047107,32.0,0.44909,1.5048
37,718.0,26663.0,0.00046454,32.0,0.4489,1.5112
38,737.0,27370.0,0.00045789,32.0,0.44875,1.5002
39,757.0,28115.0,0.00045079,32.0,0.44915,1.487
40,776.0,28822.0,0.00044395,32.0,0.4492,1.4877
41,795.0,29529.0,0.00043702,32.0,0.44906,1.4585
42,815.0,30273.0,0.00042963,32.0,0.44916,1.4712
43,834.0,30980.0,0.00042253,32.0,0.44903,1.4615
44,853.0,31687.0,0.00041536,32.0,0.44901,1.4636
45,873.0,32431.0,0.00040773,32.0,0.44933,1.4503
46,892.0,33138.0,0.00040043,32.0,0.44919,1.4491
47,911.0,33846.0,0.00039307,32.0,0.44899,1.4251
48,931.0,34590.0,0.00038526,32.0,0.44901,1.4346
49,950.0,35297.0,0.0003778,32.0,0.44905,1.4345
50,969.0,36004.0,0.00037031,32.0,0.44897,1.4181
51,989.0,36748.0,0.00036238,32.0,0.4491,1.4083
52,1008.0,37456.0,0.00035483,32.0,0.44913,1.4224
53,1027.0,38163.0,0.00034725,32.0,0.44895,1.4023
54,1047.0,38907.0,0.00033926,32.0,0.44894,1.4049
55,1066.0,39614.0,0.00033166,32.0,0.44892,1.3915
56,1085.0,40322.0,0.00032406,32.0,0.44891,1.39
57,1105.0,41066.0,0.00031607,32.0,0.44881,1.4025
58,1124.0,41774.0,0.00030848,32.0,0.44874,1.3811
59,1143.0,42481.0,0.00030091,32.0,0.44883,1.3866
60,1163.0,43226.0,0.00029297,32.0,0.44905,1.379
61,1182.0,43933.0,0.00028546,32.0,0.44894,1.3742
62,1202.0,44677.0,0.00027759,32.0,0.44913,1.3658
63,1221.0,45384.0,0.00027016,32.0,0.44922,1.3747
64,1240.0,46091.0,0.00026278,32.0,0.44916,1.3639
65,1260.0,46836.0,0.00025506,32.0,0.44881,1.3555
66,1279.0,47543.0,0.00024779,32.0,0.44896,1.3678
67,1298.0,48250.0,0.00024059,32.0,0.44876,1.3595
68,1318.0,48995.0,0.00023307,32.0,0.44889,1.358
69,1337.0,49702.0,0.00022602,32.0,0.44915,1.3384
70,1356.0,50410.0,0.00021905,32.0,0.44865,1.3401
71,1376.0,51155.0,0.0002118,32.0,0.44876,1.3447
72,1395.0,51862.0,0.00020501,32.0,0.44902,1.3407
73,1414.0,52570.0,0.00019832,32.0,0.44872,1.3342
74,1434.0,53314.0,0.00019139,32.0,0.4487,1.3409
75,1453.0,54022.0,0.00018492,32.0,0.44863,1.3289
76,1472.0,54730.0,0.00017857,32.0,0.44857,1.3184
77,1492.0,55475.0,0.000172,32.0,0.44858,1.3195
78,1511.0,56183.0,0.0001659,32.0,0.44864,1.3273
79,1530.0,56891.0,0.00015993,32.0,0.44868,1.3191
80,1550.0,57636.0,0.00015379,32.0,0.44839,1.3255
81,1569.0,58343.0,0.0001481,32.0,0.4483,1.3167
82,1588.0,59051.0,0.00014255,32.0,0.44859,1.3225
83,1608.0,59796.0,0.00013687,32.0,0.44839,1.3139
84,1627.0,60504.0,0.00013163,32.0,0.44856,1.3075
85,1646.0,61212.0,0.00012655,32.0,0.44851,1.3008
86,1665.0,61920.0,0.00012163,32.0,0.44857,1.3072
87,1685.0,62665.0,0.00011663,32.0,0.44848,1.3089
88,1704.0,63373.0,0.00011205,32.0,0.44839,1.3055
89,1723.0,64081.0,0.00010765,32.0,0.44862,1.3088
90,1743.0,64826.0,0.00010321,32.0,0.44861,1.3089
91,1762.0,65534.0,9.9168e-05,32.0,0.44847,1.3019
92,1781.0,66242.0,9.5315e-05,32.0,0.44848,1.3083
93,1801.0,66987.0,9.1459e-05,32.0,0.44844,1.2959
94,1820.0,67695.0,8.7991e-05,32.0,0.44838,1.2752
95,1839.0,68403.0,8.4715e-05,32.0,0.4485,1.301
96,1859.0,69148.0,8.1477e-05,32.0,0.44849,1.287
