,Iteration,Time,Learning Rate,Batch Size,Train Loss,Val Loss
0,0.0,0.0048261,0.0,1.0,-100.0,10.967
1,360.0,721.07,0.00059996,2.0,0.42193,5.8942
2,719.0,1441.2,0.0005997,2.0,0.42986,5.4998
3,1078.0,2161.2,0.00059923,2.0,0.43282,5.2327
4,1384.0,2882.1,0.00059854,3.0,0.42718,4.9859
5,1624.0,3602.2,0.00059762,3.0,0.43617,4.7768
6,1864.0,4322.3,0.00059649,3.0,0.4296,4.6651
7,2104.0,5042.6,0.00059514,3.0,0.42577,4.5859
8,2290.0,5761.6,0.00059357,4.0,0.43884,4.4391
9,2470.0,6481.5,0.00059179,4.0,0.43035,4.4015
10,2650.0,7201.6,0.00058978,4.0,0.43322,4.3342
11,2818.0,7924.4,0.00058756,5.0,0.43667,4.2666
12,2962.0,8643.9,0.00058514,5.0,0.43408,4.2168
13,3106.0,9363.4,0.00058251,5.0,0.43491,4.2179
14,3250.0,10083.0,0.00057967,5.0,0.43254,4.1008
15,3375.0,10803.0,0.00057662,6.0,0.43416,4.1056
16,3495.0,11523.0,0.00057337,6.0,0.43699,4.0646
17,3615.0,12243.0,0.00056992,6.0,0.43443,4.0422
18,3731.0,12964.0,0.00056628,7.0,0.43782,4.0246
19,3834.0,13684.0,0.00056243,7.0,0.4361,4.0037
20,3937.0,14405.0,0.0005584,7.0,0.43308,3.9676
21,4040.0,15125.0,0.00055417,7.0,0.43434,3.9589
22,4134.0,15846.0,0.00054977,8.0,0.43402,3.9271
23,4224.0,16566.0,0.00054519,8.0,0.43577,3.9372
24,4314.0,17286.0,0.00054043,8.0,0.43438,3.9074
25,4402.0,18001.0,0.00053554,9.0,0.43158,3.9025
26,4482.0,18721.0,0.00053044,9.0,0.43381,3.884
27,4562.0,19440.0,0.00052518,9.0,0.43299,3.8716
28,4642.0,20161.0,0.00051975,9.0,0.43309,3.849
29,4718.0,20888.0,0.00051411,10.0,0.43203,3.8178
30,4790.0,21609.0,0.00050838,10.0,0.43357,3.8187
31,4862.0,22329.0,0.00050249,10.0,0.43364,3.8367
32,4933.0,23042.0,0.00049654,11.0,0.43454,3.7785
33,4999.0,23768.0,0.00049033,11.0,0.43225,3.7919
34,5064.0,24483.0,0.00048409,11.0,0.43346,3.7584
35,5130.0,25209.0,0.00047761,11.0,0.43285,3.7665
36,5192.0,25921.0,0.00047116,12.0,0.43444,3.7773
37,5252.0,26641.0,0.00046451,12.0,0.43292,3.7449
38,5312.0,27362.0,0.00045774,12.0,0.43269,3.7475
39,5372.0,28082.0,0.00045087,12.0,0.43471,3.7256
40,5428.0,28807.0,0.00044386,13.0,0.43538,3.7535
41,5483.0,29522.0,0.00043685,13.0,0.43431,3.7237
42,5539.0,30250.0,0.00042962,13.0,0.4335,3.7117
43,5593.0,30973.0,0.00042237,14.0,0.4337,3.6883
44,5644.0,31687.0,0.00041513,14.0,0.43442,3.6992
45,5695.0,32401.0,0.00040781,14.0,0.43407,3.7087
46,5747.0,33129.0,0.00040029,14.0,0.43397,3.679
47,5795.0,33841.0,0.00039288,15.0,0.43481,3.6642
48,5843.0,34563.0,0.00038532,15.0,0.43357,3.6796
49,5891.0,35284.0,0.00037771,15.0,0.43409,3.6222
50,5938.0,36003.0,0.00037009,16.0,0.43295,3.6488
51,5983.0,36725.0,0.00036241,16.0,0.43215,3.6245
52,6028.0,37447.0,0.0003547,16.0,0.43259,3.6296
53,6073.0,38168.0,0.00034697,16.0,0.43395,3.6374
54,6116.0,38889.0,0.00033924,17.0,0.43355,3.6212
55,6158.0,39605.0,0.00033155,17.0,0.43346,3.6148
56,6201.0,40337.0,0.00032369,17.0,0.4324,3.5958
57,6242.0,41043.0,0.00031611,18.0,0.43273,3.6464
58,6282.0,41764.0,0.00030838,18.0,0.43336,3.5972
59,6322.0,42486.0,0.00030066,18.0,0.43315,3.6093
60,6362.0,43208.0,0.00029296,18.0,0.4328,3.5969
61,6401.0,43937.0,0.00028523,19.0,0.43258,3.5907
62,6438.0,44642.0,0.00027777,19.0,0.43007,3.5736
63,6476.0,45366.0,0.00027016,19.0,0.43375,3.5982
64,6514.0,46094.0,0.00026257,20.0,0.43065,3.572
65,6550.0,46816.0,0.00025509,20.0,0.43233,3.5675
66,6586.0,47538.0,0.00024767,20.0,0.43134,3.5708
67,6622.0,48260.0,0.00024031,20.0,0.43372,3.551
68,6657.0,48981.0,0.00023306,21.0,0.43216,3.5939
69,6691.0,49697.0,0.00022592,21.0,0.43334,3.5413
70,6725.0,50413.0,0.00021886,21.0,0.43228,3.5538
71,6759.0,51129.0,0.00021189,22.0,0.43271,3.5362
72,6792.0,51857.0,0.00020491,22.0,0.43252,3.5517
73,6824.0,52564.0,0.00019823,22.0,0.43328,3.4989
74,6857.0,53293.0,0.00019146,22.0,0.43244,3.4987
75,6889.0,54013.0,0.00018488,23.0,0.43217,3.5053
76,6920.0,54729.0,0.00017845,23.0,0.43217,3.4959
77,6951.0,55444.0,0.00017215,23.0,0.43287,3.5056
78,6983.0,56183.0,0.00016578,23.0,0.4328,3.5113
79,7013.0,56902.0,0.00015972,24.0,0.43181,3.5131
80,7042.0,57601.0,0.00015396,24.0,0.43289,3.4822
81,7072.0,58324.0,0.00014815,24.0,0.43171,3.4898
82,7102.0,59057.0,0.00014241,25.0,0.43001,3.5536
83,7131.0,59785.0,0.00013686,25.0,0.43249,3.5353
84,7159.0,60488.0,0.00013166,25.0,0.43205,3.5578
85,7188.0,61217.0,0.00012643,25.0,0.43204,3.5601
86,7216.0,61945.0,0.00012138,26.0,0.43223,3.5283
87,7243.0,62651.0,0.00011665,26.0,0.43223,3.5175
88,7271.0,63382.0,0.00011192,26.0,0.43225,3.5196
89,7298.0,64095.0,0.0001075,27.0,0.43141,3.515
90,7324.0,64800.0,0.0001033,27.0,0.43273,3.4841
91,7351.0,65533.0,9.9118e-05,27.0,0.4323,3.5017
92,7378.0,66266.0,9.5135e-05,27.0,0.43273,3.4619
93,7403.0,66962.0,9.154e-05,28.0,0.4313,3.4681
94,7429.0,67694.0,8.7952e-05,28.0,0.43245,3.4644
95,7455.0,68426.0,8.4571e-05,28.0,0.43071,3.4498
96,7480.0,69134.0,8.1502e-05,29.0,0.43193,3.4739
97,7505.0,69863.0,7.8542e-05,29.0,0.43185,3.4646
98,7529.0,70563.0,7.5902e-05,29.0,0.43184,3.4663
99,7554.0,71292.0,7.3361e-05,29.0,0.4311,3.4885
100,7578.0,72005.0,7.1086e-05,30.0,0.4322,3.4586
101,7602.0,72729.0,6.8987e-05,30.0,0.43094,3.4915
102,7626.0,73453.0,6.7106e-05,30.0,0.43213,3.4797
103,7650.0,74178.0,6.5443e-05,31.0,0.43214,3.48
104,7673.0,74895.0,6.4012e-05,31.0,0.43128,3.5279
105,7696.0,75612.0,6.2796e-05,31.0,0.43098,3.4661
106,7719.0,76329.0,6.1799e-05,31.0,0.43069,3.488
