,Iteration,Time,Learning Rate,Batch Size,Train Loss,Val Loss
0,0.0,0.0075517,0.0,32.0,-100.0,10.982
1,28.0,741.88,0.00059996,32.0,0.37353,7.3031
2,55.0,1458.0,0.00059971,32.0,0.3732,6.8624
3,82.0,2174.6,0.00059924,32.0,0.37308,6.594
4,109.0,2891.3,0.00059856,32.0,0.37303,6.4538
5,136.0,3607.4,0.00059765,32.0,0.37376,6.3031
6,163.0,4323.4,0.00059653,32.0,0.37394,6.1591
7,191.0,5066.0,0.00059514,32.0,0.37338,6.0586
8,218.0,5782.0,0.00059358,32.0,0.37372,6.0494
9,245.0,6498.0,0.0005918,32.0,0.37354,5.9016
10,272.0,7214.0,0.00058981,32.0,0.37426,5.909
11,299.0,7930.1,0.00058762,32.0,0.3735,5.7857
12,326.0,8645.8,0.00058521,32.0,0.37495,5.7401
13,353.0,9361.6,0.00058259,32.0,0.3735,5.6527
14,381.0,10104.0,0.00057967,32.0,0.37407,5.5408
15,408.0,10820.0,0.00057664,32.0,0.37415,5.459
16,435.0,11536.0,0.0005734,32.0,0.37367,5.3803
17,462.0,12252.0,0.00056998,32.0,0.37386,5.3714
18,489.0,12967.0,0.00056636,32.0,0.37381,5.3034
19,516.0,13683.0,0.00056255,32.0,0.37252,5.2289
20,543.0,14400.0,0.00055854,32.0,0.37305,5.2938
21,571.0,15144.0,0.00055418,32.0,0.37281,5.1773
22,598.0,15862.0,0.00054979,32.0,0.37328,5.0583
23,625.0,16579.0,0.00054523,32.0,0.37328,5.0356
24,652.0,17298.0,0.00054047,32.0,0.37316,5.0204
25,679.0,18015.0,0.00053556,32.0,0.37355,4.9605
26,706.0,18732.0,0.00053048,32.0,0.37304,4.8995
27,733.0,19449.0,0.00052524,32.0,0.37317,4.8698
28,760.0,20166.0,0.00051984,32.0,0.37352,4.857
29,787.0,20882.0,0.00051429,32.0,0.37299,4.7913
30,815.0,21626.0,0.00050837,32.0,0.37302,4.7413
31,842.0,22342.0,0.00050252,32.0,0.37243,4.6866
32,869.0,23059.0,0.00049652,32.0,0.37361,4.6639
33,896.0,23776.0,0.00049039,32.0,0.37292,4.6057
34,923.0,24493.0,0.00048413,32.0,0.37318,4.5627
35,950.0,25210.0,0.00047774,32.0,0.37362,4.5463
36,977.0,25927.0,0.00047124,32.0,0.37338,4.5429
37,1004.0,26643.0,0.00046462,32.0,0.37272,4.4636
38,1031.0,27360.0,0.00045789,32.0,0.37368,4.4722
39,1059.0,28104.0,0.0004508,32.0,0.37378,4.398
40,1086.0,28821.0,0.00044386,32.0,0.37321,4.3503
41,1113.0,29537.0,0.00043683,32.0,0.37384,4.3652
42,1140.0,30253.0,0.00042972,32.0,0.37441,4.3648
43,1167.0,30970.0,0.00042252,32.0,0.37306,4.3692
44,1194.0,31686.0,0.00041526,32.0,0.37287,4.3283
45,1221.0,32402.0,0.00040792,32.0,0.37374,4.3144
46,1249.0,33145.0,0.00040025,32.0,0.37433,4.3022
47,1276.0,33861.0,0.0003928,32.0,0.3742,4.2748
48,1303.0,34576.0,0.00038529,32.0,0.37394,4.2532
49,1330.0,35292.0,0.00037774,32.0,0.3742,4.2567
50,1357.0,36008.0,0.00037015,32.0,0.37356,4.2237
51,1384.0,36724.0,0.00036253,32.0,0.37404,4.2408
52,1412.0,37466.0,0.0003546,32.0,0.37378,4.2215
53,1439.0,38182.0,0.00034693,32.0,0.37355,4.1701
54,1466.0,38898.0,0.00033925,32.0,0.37423,4.1932
