,Iteration,Time,Learning Rate,Batch Size,Train Loss,Val Loss
0,0.0,0.0069406,0.0,1.0,-100.0,10.986
1,975.0,720.66,0.00059996,1.0,0.4217,6.2744
2,1946.0,1440.3,0.0005997,1.0,0.41517,6.1253
3,2917.0,2160.4,0.00059923,1.0,0.41538,5.9497
4,3887.0,2880.4,0.00059854,1.0,0.4197,5.8294
5,4858.0,3600.6,0.00059762,1.0,0.41484,5.7006
6,5829.0,4320.6,0.00059649,1.0,0.4152,5.6482
7,6799.0,5040.2,0.00059514,1.0,0.42078,5.5147
8,7770.0,5760.4,0.00059357,1.0,0.4154,5.4613
9,8740.0,6480.0,0.00059178,1.0,0.42006,5.3558
10,9711.0,7200.6,0.00058978,1.0,0.41282,5.3465
11,10682.0,7920.6,0.00058756,1.0,0.41455,5.2529
12,11652.0,8640.0,0.00058514,1.0,0.4207,5.1434
13,12623.0,9360.2,0.0005825,1.0,0.41305,5.1172
14,13594.0,10080.0,0.00057966,1.0,0.41488,5.0707
15,14565.0,10800.0,0.00057661,1.0,0.4154,5.0208
16,15536.0,11520.0,0.00057336,1.0,0.41799,5.0022
17,16507.0,12240.0,0.00056991,1.0,0.41713,4.9862
18,17478.0,12961.0,0.00056626,1.0,0.41719,4.9384
19,18449.0,13681.0,0.00056242,1.0,0.41905,4.8588
20,19419.0,14401.0,0.00055839,1.0,0.42088,4.9265
21,20389.0,15121.0,0.00055416,1.0,0.42045,4.9193
22,21358.0,15840.0,0.00054976,1.0,0.41633,4.8363
23,22328.0,16561.0,0.00054518,1.0,0.41979,4.8567
24,23297.0,17280.0,0.00054042,1.0,0.41079,4.8511
25,24266.0,18000.0,0.00053549,1.0,0.41682,4.8384
26,25236.0,18721.0,0.00053038,1.0,0.41993,4.809
27,26206.0,19440.0,0.00052511,1.0,0.42051,4.7961
28,27177.0,20160.0,0.00051969,1.0,0.41375,4.7902
29,28147.0,20880.0,0.00051411,1.0,0.4208,4.7568
30,29117.0,21600.0,0.00050837,1.0,0.42078,4.7804
31,30087.0,22320.0,0.00050249,1.0,0.42085,4.7513
32,31057.0,23040.0,0.00049647,1.0,0.41991,4.7555
33,32026.0,23760.0,0.00049031,1.0,0.41701,4.7808
34,32996.0,24481.0,0.00048401,1.0,0.4212,4.7242
35,33965.0,25201.0,0.0004776,1.0,0.41722,4.7377
36,34934.0,25920.0,0.00047106,1.0,0.41678,4.6968
37,35904.0,26641.0,0.0004644,1.0,0.4192,4.734
38,36872.0,27360.0,0.00045765,1.0,0.41943,4.6642
39,37842.0,28081.0,0.00045077,1.0,0.42082,4.7104
40,38811.0,28800.0,0.0004438,1.0,0.41714,4.6993
41,39780.0,29521.0,0.00043674,1.0,0.41771,4.6702
42,40748.0,30240.0,0.0004296,1.0,0.41905,4.6529
43,41718.0,30961.0,0.00042236,1.0,0.42144,4.6323
44,42687.0,31681.0,0.00041505,1.0,0.41528,4.65
45,43655.0,32400.0,0.00040768,1.0,0.4205,4.6078
46,44625.0,33120.0,0.00040024,1.0,0.41977,4.6397
47,45594.0,33841.0,0.00039274,1.0,0.41312,4.6206
48,46563.0,34560.0,0.00038519,1.0,0.41403,4.6361
49,47532.0,35281.0,0.00037759,1.0,0.41234,4.6108
50,48500.0,36001.0,0.00036996,1.0,0.41962,4.598
51,49469.0,36721.0,0.00036229,1.0,0.41715,4.5681
52,50438.0,37441.0,0.0003546,1.0,0.4148,4.5942
53,51407.0,38161.0,0.00034688,1.0,0.41497,4.5667
54,52376.0,38880.0,0.00033916,1.0,0.41523,4.5927
55,53345.0,39600.0,0.00033142,1.0,0.41358,4.5879
56,54314.0,40320.0,0.00032369,1.0,0.41604,4.5588
57,55283.0,41040.0,0.00031596,1.0,0.41536,4.5784
58,56253.0,41760.0,0.00030824,1.0,0.4194,4.5366
59,57223.0,42481.0,0.00030053,1.0,0.42228,4.5533
60,58192.0,43201.0,0.00029285,1.0,0.41601,4.4909
61,59160.0,43920.0,0.00028521,1.0,0.41904,4.4863
62,60130.0,44641.0,0.00027759,1.0,0.41904,4.5243
63,61098.0,45360.0,0.00027003,1.0,0.41915,4.538
64,62067.0,46080.0,0.00026251,1.0,0.41597,4.4784
65,63036.0,46800.0,0.00025505,1.0,0.41643,4.5369
66,64005.0,47520.0,0.00024765,1.0,0.41649,4.4532
67,64975.0,48241.0,0.00024031,1.0,0.42034,4.4295
68,65944.0,48960.0,0.00023306,1.0,0.41485,4.4728
69,66912.0,49680.0,0.00022588,1.0,0.40593,4.4653
70,67881.0,50400.0,0.00021878,1.0,0.41331,4.4661
71,68849.0,51120.0,0.00021178,1.0,0.4187,4.4621
72,69818.0,51841.0,0.00020487,1.0,0.41422,4.4348
73,70786.0,52560.0,0.00019807,1.0,0.41919,4.4603
74,71755.0,53280.0,0.00019137,1.0,0.41591,4.398
75,72724.0,54000.0,0.00018479,1.0,0.41749,4.4127
76,73693.0,54720.0,0.00017833,1.0,0.4145,4.3967
77,74663.0,55441.0,0.00017199,1.0,0.42122,4.3585
78,75632.0,56160.0,0.00016578,1.0,0.41522,4.3937
79,76602.0,56881.0,0.00015971,1.0,0.41937,4.345
80,77571.0,57600.0,0.00015378,1.0,0.41293,4.3543
81,78540.0,58320.0,0.00014799,1.0,0.41604,4.3336
82,79509.0,59040.0,0.00014235,1.0,0.41558,4.3318
83,80479.0,59761.0,0.00013686,1.0,0.42142,4.359
84,81448.0,60480.0,0.00013154,1.0,0.41535,4.3314
85,82418.0,61201.0,0.00012637,1.0,0.42164,4.2914
86,83388.0,61921.0,0.00012137,1.0,0.42341,4.3249
87,84357.0,62640.0,0.00011655,1.0,0.41551,4.3508
88,85327.0,63360.0,0.0001119,1.0,0.41803,4.3213
89,86297.0,64081.0,0.00010743,1.0,0.41733,4.2354
90,87266.0,64800.0,0.00010314,1.0,0.41466,4.2845
91,88236.0,65520.0,9.9041e-05,1.0,0.41909,4.275
92,89205.0,66240.0,9.513e-05,1.0,0.41644,4.2482
93,90174.0,66960.0,9.141e-05,1.0,0.41334,4.2634
94,91144.0,67681.0,8.7885e-05,1.0,0.41761,4.2918
95,92113.0,68401.0,8.4561e-05,1.0,0.41519,4.2219
96,93082.0,69120.0,8.1439e-05,1.0,0.41682,4.2163
97,94052.0,69841.0,7.8519e-05,1.0,0.41899,4.2789
98,95021.0,70560.0,7.5809e-05,1.0,0.41474,4.2474
99,95991.0,71281.0,7.3303e-05,1.0,0.41931,4.2414
100,96960.0,72001.0,7.101e-05,1.0,0.41687,4.2534
101,97929.0,72721.0,6.893e-05,1.0,0.41667,4.2298
102,98896.0,73440.0,6.7065e-05,1.0,0.41369,4.2273
103,99865.0,74160.0,6.5414e-05,1.0,0.41535,4.2084
104,100830.0,74881.0,6.3981e-05,1.0,0.4147,4.2186
105,101800.0,75601.0,6.2767e-05,1.0,0.41593,4.2298
106,102770.0,76320.0,6.1772e-05,1.0,0.41974,4.2029
107,103740.0,77041.0,6.0997e-05,1.0,0.41887,4.2114
108,104710.0,77760.0,6.0444e-05,1.0,0.41363,4.2155
109,105680.0,78480.0,6.0111e-05,1.0,0.41528,4.1992
110,106490.0,79080.0,6.0003e-05,1.0,0.42294,4.2356
111,106640.0,79190.0,6e-05,1.0,0.42011,4.1983
