,Iteration,Time,Learning Rate,Batch Size,Train Loss,Val Loss
0,0.0,0.0068307,0.0,1.0,-100.0,10.963
1,363.0,720.03,0.0006,2.0,0.43757,6.1528
2,726.0,1441.9,0.0006,2.0,0.42684,5.7426
3,1088.0,2161.3,0.0006,2.0,0.4359,5.5028
4,1396.0,2880.5,0.0006,3.0,0.43897,5.2444
5,1638.0,3601.0,0.0006,3.0,0.43793,5.1117
6,1880.0,4321.3,0.0006,3.0,0.43802,4.9455
7,2122.0,5041.8,0.0006,3.0,0.43401,4.8306
8,2310.0,5763.5,0.0006,4.0,0.43663,4.7185
9,2491.0,6481.6,0.0006,4.0,0.43799,4.6472
10,2673.0,7203.5,0.0006,4.0,0.43726,4.5717
11,2842.0,7924.1,0.0006,5.0,0.43802,4.4901
12,2987.0,8642.5,0.0006,5.0,0.43939,4.4304
13,3132.0,9360.8,0.0006,5.0,0.43941,4.4497
14,3278.0,10085.0,0.0006,5.0,0.43839,4.3641
15,3404.0,10805.0,0.0006,6.0,0.43765,4.3433
16,3525.0,11524.0,0.0006,6.0,0.43432,4.2844
17,3646.0,12244.0,0.0006,6.0,0.43774,4.315
18,3763.0,12966.0,0.0006,7.0,0.43856,4.2056
19,3866.0,13680.0,0.0006,7.0,0.43815,4.253
20,3970.0,14402.0,0.0006,7.0,0.43877,4.171
21,4074.0,15123.0,0.0006,7.0,0.43927,4.1738
22,4169.0,15846.0,0.0006,8.0,0.43736,4.1455
23,4260.0,16567.0,0.0006,8.0,0.4374,4.1361
24,4350.0,17281.0,0.0006,8.0,0.43751,4.0786
25,4440.0,18005.0,0.0006,9.0,0.43991,4.0989
26,4521.0,18727.0,0.0006,9.0,0.43943,4.1266
27,4602.0,19448.0,0.0006,9.0,0.43909,4.0637
28,4682.0,20161.0,0.0006,9.0,0.43885,4.0591
29,4759.0,20889.0,0.0006,10.0,0.43895,4.0185
30,4831.0,21602.0,0.0006,10.0,0.43909,4.054
31,4904.0,22324.0,0.0006,10.0,0.43884,4.0095
32,4977.0,23050.0,0.0006,11.0,0.43966,3.9999
33,5043.0,23769.0,0.0006,11.0,0.43697,4.0178
34,5109.0,24487.0,0.0006,11.0,0.43906,3.9677
35,5175.0,25205.0,0.0006,11.0,0.43939,3.9687
36,5238.0,25921.0,0.0006,12.0,0.43918,3.9745
37,5299.0,26645.0,0.0006,12.0,0.43551,3.9572
38,5360.0,27369.0,0.0006,12.0,0.4371,3.9445
39,5420.0,28082.0,0.0006,12.0,0.43819,3.8981
40,5477.0,28812.0,0.0006,13.0,0.43912,3.8961
41,5533.0,29532.0,0.0006,13.0,0.43916,3.9317
42,5589.0,30253.0,0.0006,13.0,0.43857,3.9029
43,5643.0,30968.0,0.0006,14.0,0.4392,3.8974
44,5695.0,31689.0,0.0006,14.0,0.43786,3.8577
45,5747.0,32409.0,0.0006,14.0,0.43861,3.8506
46,5799.0,33130.0,0.0006,14.0,0.4383,3.8736
47,5848.0,33850.0,0.0006,15.0,0.43827,3.8252
48,5896.0,34563.0,0.0006,15.0,0.43702,3.8337
49,5945.0,35290.0,0.0006,15.0,0.43794,3.886
50,5992.0,36002.0,0.0006,16.0,0.43813,3.7888
51,6038.0,36730.0,0.0006,16.0,0.43848,3.807
52,6083.0,37443.0,0.0006,16.0,0.43854,3.8393
53,6129.0,38171.0,0.0006,16.0,0.43828,3.8013
54,6172.0,38884.0,0.0006,17.0,0.43769,3.8055
55,6215.0,39608.0,0.0006,17.0,0.43914,3.7808
56,6258.0,40331.0,0.0006,17.0,0.43842,3.7979
57,6300.0,41046.0,0.0006,18.0,0.43821,3.7825
58,6341.0,41776.0,0.0006,18.0,0.43898,3.8094
59,6381.0,42489.0,0.0006,18.0,0.43794,3.7779
60,6421.0,43202.0,0.0006,18.0,0.43843,3.8034
61,6460.0,43922.0,0.0006,19.0,0.4379,3.7771
62,6499.0,44655.0,0.0006,19.0,0.4389,3.7905
63,6537.0,45370.0,0.0006,19.0,0.43848,3.7459
64,6575.0,46090.0,0.0006,20.0,0.4386,3.7727
65,6611.0,46804.0,0.0006,20.0,0.43781,3.7415
66,6648.0,47537.0,0.0006,20.0,0.43635,3.7326
67,6684.0,48251.0,0.0006,20.0,0.43733,3.7479
68,6719.0,48964.0,0.0006,21.0,0.43756,3.7443
69,6754.0,49693.0,0.0006,21.0,0.43735,3.7163
70,6788.0,50401.0,0.0006,21.0,0.43692,3.7425
71,6823.0,51131.0,0.0006,22.0,0.43721,3.6897
72,6856.0,51851.0,0.0006,22.0,0.43727,3.7151
73,6889.0,52571.0,0.0006,22.0,0.43671,3.6753
74,6922.0,53292.0,0.0006,22.0,0.43747,3.7489
75,6954.0,54004.0,0.0006,23.0,0.43719,3.7016
76,6986.0,54735.0,0.0006,23.0,0.43705,3.7101
77,7017.0,55443.0,0.0006,23.0,0.43722,3.6792
78,7049.0,56174.0,0.0006,23.0,0.4366,3.7235
79,7079.0,56886.0,0.0006,24.0,0.43673,3.6956
80,7109.0,57602.0,0.0006,24.0,0.43667,3.6894
81,7140.0,58341.0,0.0006,24.0,0.43711,3.678
82,7169.0,59043.0,0.0006,25.0,0.43651,3.6335
83,7198.0,59762.0,0.0006,25.0,0.43669,3.6207
84,7227.0,60482.0,0.0006,25.0,0.43678,3.6788
85,7256.0,61203.0,0.0006,25.0,0.43677,3.6497
86,7284.0,61920.0,0.0006,26.0,0.43654,3.6662
87,7312.0,62644.0,0.0006,26.0,0.43671,3.6409
88,7340.0,63368.0,0.0006,26.0,0.43655,3.6632
89,7368.0,64099.0,0.0006,27.0,0.43531,3.6209
90,7395.0,64823.0,0.0006,27.0,0.43613,3.6811
91,7421.0,65522.0,0.0006,27.0,0.43619,3.6917
92,7448.0,66247.0,0.0006,27.0,0.43619,3.6681
93,7474.0,66963.0,0.0006,28.0,0.43594,3.6527
94,7500.0,67687.0,0.0006,28.0,0.43613,3.6804
95,7526.0,68411.0,0.0006,28.0,0.4354,3.647
96,7552.0,69140.0,0.0006,29.0,0.43627,3.6226
97,7577.0,69861.0,0.0006,29.0,0.4363,3.6246
98,7602.0,70582.0,0.0006,29.0,0.43644,3.6414
99,7627.0,71303.0,0.0006,29.0,0.43652,3.654
100,7651.0,72009.0,0.0006,30.0,0.43639,3.606
101,7675.0,72725.0,0.0006,30.0,0.43618,3.6425
102,7699.0,73441.0,0.0006,30.0,0.43628,3.6477
103,7724.0,74189.0,0.0006,31.0,0.43608,3.6467
104,7747.0,74898.0,0.0006,31.0,0.43664,3.6073
105,7770.0,75607.0,0.0006,31.0,0.43648,3.6216
106,7794.0,76347.0,0.0006,31.0,0.43584,3.5992
107,7817.0,77068.0,0.0006,32.0,0.43563,3.627
108,7839.0,77769.0,0.0006,32.0,0.43659,3.5918
109,7862.0,78500.0,0.0006,32.0,0.43664,3.6036
110,7881.0,79105.0,0.0006,32.0,0.43627,3.622
111,7884.0,79201.0,0.0006,32.0,0.43577,3.607
