,Iteration,Time,Learning Rate,Batch Size,Train Loss,Val Loss
0,0.0,0.0062327,0.0,32.0,-100.0,10.986
1,31.0,720.22,0.00011999,32.0,0.4274,7.6152
2,62.0,1441.3,0.00011994,32.0,0.42594,7.1093
3,93.0,2162.3,0.00011985,32.0,0.42641,6.8506
4,124.0,2883.7,0.00011971,32.0,0.42637,6.6005
5,155.0,3604.7,0.00011953,32.0,0.42657,6.5164
6,186.0,4325.8,0.0001193,32.0,0.42669,6.3949
7,217.0,5047.1,0.00011903,32.0,0.42507,6.3363
8,248.0,5768.6,0.00011872,32.0,0.42559,6.2233
9,279.0,6490.5,0.00011836,32.0,0.42476,6.1705
10,310.0,7212.7,0.00011796,32.0,0.42563,6.1007
11,341.0,7934.6,0.00011752,32.0,0.4255,6.08
12,372.0,8657.3,0.00011703,32.0,0.42497,5.9926
13,403.0,9379.4,0.0001165,32.0,0.42448,5.9778
14,434.0,10102.0,0.00011593,32.0,0.42632,5.897
15,464.0,10801.0,0.00011534,32.0,0.42574,5.8405
16,495.0,11523.0,0.00011469,32.0,0.42545,5.8222
17,526.0,12246.0,0.000114,32.0,0.42528,5.7438
18,557.0,12968.0,0.00011327,32.0,0.42424,5.7264
19,588.0,13691.0,0.0001125,32.0,0.42447,5.655
20,619.0,14413.0,0.00011169,32.0,0.42459,5.6523
21,650.0,15136.0,0.00011084,32.0,0.42538,5.6201
22,681.0,15859.0,0.00010996,32.0,0.42599,5.57
23,712.0,16581.0,0.00010904,32.0,0.4261,5.5344
24,743.0,17303.0,0.00010808,32.0,0.42507,5.5153
25,773.0,18002.0,0.00010713,32.0,0.42457,5.4964
26,804.0,18724.0,0.0001061,32.0,0.42513,5.4122
27,835.0,19447.0,0.00010505,32.0,0.42442,5.3787
28,866.0,20170.0,0.00010396,32.0,0.42466,5.3427
29,897.0,20893.0,0.00010284,32.0,0.42496,5.3527
30,928.0,21617.0,0.00010168,32.0,0.42503,5.2688
31,959.0,22340.0,0.0001005,32.0,0.42508,5.2463
32,990.0,23062.0,9.9295e-05,32.0,0.42491,5.2102
33,1020.0,23761.0,9.81e-05,32.0,0.42478,5.2143
34,1051.0,24484.0,9.6837e-05,32.0,0.4249,5.1257
35,1082.0,25206.0,9.555e-05,32.0,0.42555,5.1021
36,1113.0,25928.0,9.4239e-05,32.0,0.42513,5.0621
37,1144.0,26651.0,9.2905e-05,32.0,0.4258,5.0086
38,1175.0,27373.0,9.1548e-05,32.0,0.42469,5.0169
39,1206.0,28096.0,9.0168e-05,32.0,0.42542,5.0209
40,1237.0,28819.0,8.8768e-05,32.0,0.42459,4.961
41,1268.0,29542.0,8.7351e-05,32.0,0.42377,4.9394
42,1298.0,30241.0,8.5962e-05,32.0,0.42525,4.9025
43,1329.0,30964.0,8.4511e-05,32.0,0.42448,4.8921
44,1360.0,31687.0,8.3044e-05,32.0,0.42524,4.8732
45,1391.0,32410.0,8.1562e-05,32.0,0.42404,4.864
46,1422.0,33133.0,8.0068e-05,32.0,0.42345,4.7884
47,1453.0,33857.0,7.8561e-05,32.0,0.42431,4.7629
48,1484.0,34580.0,7.7045e-05,32.0,0.42429,4.7703
49,1514.0,35280.0,7.5567e-05,32.0,0.42394,4.7428
50,1545.0,36003.0,7.4034e-05,32.0,0.42513,4.7147
51,1576.0,36726.0,7.2494e-05,32.0,0.42505,4.6797
52,1607.0,37450.0,7.0949e-05,32.0,0.42466,4.6465
53,1638.0,38173.0,6.9398e-05,32.0,0.42422,4.6403
54,1669.0,38897.0,6.7845e-05,32.0,0.4251,4.6566
55,1700.0,39622.0,6.6288e-05,32.0,0.42428,4.6093
56,1730.0,40322.0,6.4783e-05,32.0,0.42485,4.6119
57,1761.0,41046.0,6.3228e-05,32.0,0.42486,4.5988
58,1792.0,41769.0,6.1676e-05,32.0,0.42375,4.6005
59,1823.0,42493.0,6.0127e-05,32.0,0.42445,4.5932
60,1854.0,43217.0,5.8585e-05,32.0,0.42452,4.5296
61,1885.0,43940.0,5.7048e-05,32.0,0.42479,4.5355
62,1915.0,44641.0,5.5566e-05,32.0,0.42498,4.495
63,1946.0,45364.0,5.4046e-05,32.0,0.42444,4.477
64,1977.0,46088.0,5.2534e-05,32.0,0.42473,4.4524
65,2008.0,46811.0,5.1034e-05,32.0,0.42437,4.4262
66,2039.0,47535.0,4.9547e-05,32.0,0.42221,4.4006
67,2070.0,48258.0,4.8073e-05,32.0,0.4233,4.4069
68,2101.0,48982.0,4.6612e-05,32.0,0.42464,4.3961
69,2131.0,49683.0,4.5216e-05,32.0,0.42565,4.3544
70,2162.0,50406.0,4.3789e-05,32.0,0.42465,4.3949
71,2193.0,51131.0,4.2379e-05,32.0,0.42402,4.3657
72,2224.0,51855.0,4.0989e-05,32.0,0.4244,4.3254
73,2255.0,52579.0,3.9622e-05,32.0,0.42529,4.3342
74,2286.0,53303.0,3.8275e-05,32.0,0.42424,4.3063
75,2316.0,54003.0,3.6994e-05,32.0,0.42394,4.2708
76,2347.0,54727.0,3.5695e-05,32.0,0.4245,4.2624
77,2378.0,55451.0,3.442e-05,32.0,0.42474,4.2524
78,2409.0,56174.0,3.3172e-05,32.0,0.42418,4.2523
79,2440.0,56898.0,3.195e-05,32.0,0.42522,4.2443
80,2471.0,57622.0,3.0757e-05,32.0,0.42404,4.2286
81,2501.0,58322.0,2.963e-05,32.0,0.42288,4.2298
82,2532.0,59047.0,2.8494e-05,32.0,0.42388,4.2695
83,2563.0,59771.0,2.739e-05,32.0,0.42445,4.1948
