,Iteration,Time,Learning Rate,Batch Size,Train Loss,Val Loss
0,0.0,0.0081818,0.0,32.0,-100.0,10.982
1,32.0,738.41,0.0006,32.0,0.42906,7.2587
2,63.0,1452.6,0.0006,32.0,0.43003,6.7515
3,94.0,2166.8,0.0006,32.0,0.43015,6.4915
4,125.0,2881.1,0.0006,32.0,0.43009,6.3205
5,157.0,3618.2,0.0006,32.0,0.4304,6.2163
6,188.0,4332.2,0.0006,32.0,0.43006,6.1299
7,219.0,5046.5,0.0006,32.0,0.43029,6.0121
8,250.0,5760.7,0.0006,32.0,0.43037,5.9554
9,282.0,6497.9,0.0006,32.0,0.43043,5.8621
10,313.0,7212.2,0.0006,32.0,0.43032,5.7524
11,344.0,7926.4,0.0006,32.0,0.43076,5.7166
12,375.0,8640.9,0.0006,32.0,0.42973,5.5868
13,407.0,9378.7,0.0006,32.0,0.43016,5.5296
14,438.0,10094.0,0.0006,32.0,0.43001,5.4566
15,469.0,10808.0,0.0006,32.0,0.42995,5.3934
16,500.0,11523.0,0.0006,32.0,0.43006,5.3705
17,532.0,12261.0,0.0006,32.0,0.42953,5.2448
18,563.0,12977.0,0.0006,32.0,0.4293,5.2183
19,594.0,13692.0,0.0006,32.0,0.42929,5.1536
20,625.0,14408.0,0.0006,32.0,0.4293,5.0736
21,656.0,15124.0,0.0006,32.0,0.42915,5.0753
22,687.0,15840.0,0.0006,32.0,0.42915,4.9841
23,719.0,16580.0,0.0006,32.0,0.42941,4.9015
24,750.0,17295.0,0.0006,32.0,0.42956,4.9035
25,781.0,18011.0,0.0006,32.0,0.4298,4.8485
26,812.0,18726.0,0.0006,32.0,0.4296,4.8101
27,843.0,19442.0,0.0006,32.0,0.42943,4.7477
28,875.0,20181.0,0.0006,32.0,0.42956,4.7171
29,906.0,20896.0,0.0006,32.0,0.42963,4.6122
30,937.0,21612.0,0.0006,32.0,0.42955,4.6298
31,968.0,22328.0,0.0006,32.0,0.42961,4.5918
32,999.0,23043.0,0.0006,32.0,0.42959,4.5214
33,1031.0,23782.0,0.0006,32.0,0.42942,4.5263
34,1062.0,24498.0,0.0006,32.0,0.42954,4.4952
35,1093.0,25213.0,0.0006,32.0,0.42946,4.3901
36,1124.0,25929.0,0.0006,32.0,0.42931,4.4107
37,1155.0,26645.0,0.0006,32.0,0.42936,4.3998
38,1186.0,27361.0,0.0006,32.0,0.42929,4.3857
39,1218.0,28100.0,0.0006,32.0,0.42937,4.3655
40,1249.0,28815.0,0.0006,32.0,0.42963,4.3063
