,Iteration,Time,Learning Rate,Batch Size,Train Loss,Val Loss
0,0.0,0.0046587,0.0,128.0,-100.0,10.982
1,8.0,741.32,0.00059997,128.0,0.42811,8.0007
2,16.0,1482.2,0.00059973,128.0,0.42879,8.0212
3,24.0,2223.5,0.00059926,128.0,0.42807,7.6083
4,32.0,2963.9,0.00059855,128.0,0.42816,7.5356
5,39.0,3612.6,0.00059774,128.0,0.42695,7.4678
6,47.0,4355.0,0.00059659,128.0,0.42654,7.4571
7,55.0,5098.9,0.00059521,128.0,0.42604,7.4054
8,63.0,5842.5,0.00059359,128.0,0.42588,7.268
9,70.0,6493.9,0.00059199,128.0,0.42609,7.203
10,78.0,7237.7,0.00058994,128.0,0.42606,7.0913
11,86.0,7981.8,0.00058766,128.0,0.4262,7.0277
12,94.0,8725.7,0.00058516,128.0,0.42615,6.9736
13,101.0,9376.5,0.00058279,128.0,0.42643,6.9366
14,109.0,10120.0,0.00057987,128.0,0.42633,6.8827
15,117.0,10864.0,0.00057673,128.0,0.42616,6.8294
16,125.0,11608.0,0.00057338,128.0,0.42617,6.8358
17,132.0,12260.0,0.00057027,128.0,0.42636,6.8021
18,140.0,13004.0,0.00056652,128.0,0.4262,6.7462
19,148.0,13747.0,0.00056256,128.0,0.42626,6.7726
20,156.0,14491.0,0.0005584,128.0,0.42675,6.699
21,163.0,15141.0,0.00055459,128.0,0.42618,6.6565
22,171.0,15885.0,0.00055006,128.0,0.42661,6.669
23,179.0,16630.0,0.00054533,128.0,0.42589,6.6151
24,186.0,17280.0,0.00054104,128.0,0.42626,6.6605
25,194.0,18025.0,0.00053595,128.0,0.42575,6.6227
26,202.0,18770.0,0.00053069,128.0,0.42668,6.5928
27,210.0,19515.0,0.00052525,128.0,0.42621,6.5613
28,217.0,20166.0,0.00052035,128.0,0.42584,6.6012
29,225.0,20910.0,0.00051459,128.0,0.42609,6.5888
30,233.0,21656.0,0.00050867,128.0,0.42595,6.598
31,241.0,22401.0,0.00050258,128.0,0.42526,6.6075
32,248.0,23054.0,0.00049713,128.0,0.42552,6.6065
33,256.0,23800.0,0.00049077,128.0,0.42539,6.576
34,264.0,24545.0,0.00048426,128.0,0.42556,6.5914
35,272.0,25291.0,0.00047762,128.0,0.4256,6.585
36,279.0,25943.0,0.0004717,128.0,0.42543,6.6023
37,287.0,26688.0,0.00046482,128.0,0.42573,6.6199
38,295.0,27434.0,0.00045782,128.0,0.42551,6.6252
39,302.0,28086.0,0.00045161,128.0,0.42568,6.6101
40,310.0,28832.0,0.0004444,128.0,0.42566,6.5823
41,318.0,29578.0,0.00043709,128.0,0.42523,6.6148
42,326.0,30323.0,0.00042969,128.0,0.42567,6.6328
43,333.0,30976.0,0.00042314,128.0,0.42529,6.6599
44,341.0,31722.0,0.00041558,128.0,0.42575,6.6698
45,349.0,32467.0,0.00040794,128.0,0.4257,6.6294
46,357.0,33213.0,0.00040024,128.0,0.42579,6.6631
47,364.0,33865.0,0.00039344,128.0,0.4255,6.6684
48,372.0,34612.0,0.00038562,128.0,0.42469,6.7154
49,380.0,35358.0,0.00037775,128.0,0.42483,6.7033
50,387.0,36011.0,0.00037083,128.0,0.42491,6.6839
