,Iteration,Time,Learning Rate,Batch Size,Train Loss,Val Loss
0,0.0,0.008918,0.0,32.0,-100.0,10.96
1,31.0,725.22,0.00059996,32.0,0.42331,7.337
2,62.0,1450.8,0.00059971,32.0,0.42304,6.784
3,93.0,2176.8,0.00059924,32.0,0.42323,6.5333
4,124.0,2903.0,0.00059854,32.0,0.42303,6.3661
5,154.0,3605.8,0.00059765,32.0,0.42273,6.2546
6,185.0,4332.3,0.00059651,32.0,0.42275,6.1399
7,216.0,5059.1,0.00059515,32.0,0.42261,6.0525
8,246.0,5762.6,0.00059362,32.0,0.4226,5.9904
9,277.0,6489.5,0.00059182,32.0,0.42279,5.8822
10,308.0,7216.2,0.0005898,32.0,0.42285,5.7743
11,339.0,7942.8,0.00058756,32.0,0.42259,5.7258
12,369.0,8646.0,0.0005852,32.0,0.42278,5.6328
13,400.0,9372.7,0.00058254,32.0,0.42252,5.5547
14,431.0,10100.0,0.00057967,32.0,0.42241,5.5024
15,461.0,10803.0,0.0005767,32.0,0.42277,5.4106
16,492.0,11530.0,0.00057342,32.0,0.42282,5.3522
17,523.0,12256.0,0.00056994,32.0,0.42279,5.3049
18,554.0,12983.0,0.00056626,32.0,0.42254,5.2427
19,584.0,13687.0,0.00056251,32.0,0.42258,5.2016
20,615.0,14414.0,0.00055844,32.0,0.42227,5.1028
21,646.0,15141.0,0.00055418,32.0,0.42261,5.112
22,676.0,15844.0,0.00054988,32.0,0.42244,5.0361
23,707.0,16572.0,0.00054525,32.0,0.42237,5.0079
24,738.0,17299.0,0.00054045,32.0,0.42236,4.9272
25,768.0,18003.0,0.00053563,32.0,0.42244,4.8664
26,799.0,18730.0,0.00053048,32.0,0.42247,4.831
27,830.0,19457.0,0.00052516,32.0,0.42225,4.8162
28,860.0,20161.0,0.00051986,32.0,0.42224,4.7193
29,891.0,20888.0,0.00051422,32.0,0.4222,4.7119
30,922.0,21616.0,0.00050843,32.0,0.42226,4.6476
31,953.0,22343.0,0.00050249,32.0,0.42218,4.618
32,983.0,23047.0,0.0004966,32.0,0.42206,4.5841
33,1014.0,23775.0,0.00049038,32.0,0.42223,4.5637
34,1045.0,24502.0,0.00048402,32.0,0.42215,4.5431
35,1075.0,25206.0,0.00047775,32.0,0.42235,4.4799
36,1106.0,25933.0,0.00047115,32.0,0.42238,4.4941
37,1137.0,26661.0,0.00046443,32.0,0.42227,4.4495
38,1167.0,27365.0,0.00045781,32.0,0.42236,4.4122
39,1198.0,28092.0,0.00045088,32.0,0.42234,4.4039
40,1229.0,28820.0,0.00044384,32.0,0.42215,4.3798
41,1259.0,29524.0,0.00043693,32.0,0.42234,4.3416
42,1290.0,30251.0,0.00042971,32.0,0.42231,4.2908
43,1321.0,30978.0,0.00042241,32.0,0.42224,4.2781
44,1351.0,31682.0,0.00041527,32.0,0.42228,4.3042
45,1382.0,32410.0,0.00040781,32.0,0.42224,4.2662
46,1413.0,33137.0,0.0004003,32.0,0.42228,4.2797
47,1443.0,33842.0,0.00039296,32.0,0.42221,4.2226
48,1474.0,34569.0,0.00038534,32.0,0.42207,4.2117
49,1505.0,35297.0,0.00037766,32.0,0.42228,4.2186
50,1535.0,36001.0,0.00037019,32.0,0.42219,4.1703
51,1566.0,36728.0,0.00036245,32.0,0.42218,4.1584
52,1597.0,37456.0,0.00035468,32.0,0.42223,4.1991
53,1627.0,38160.0,0.00034713,32.0,0.42215,4.1228
54,1658.0,38888.0,0.00033932,32.0,0.4221,4.1709
55,1689.0,39616.0,0.0003315,32.0,0.42212,4.1181
56,1719.0,40320.0,0.00032393,32.0,0.42177,4.1267
57,1750.0,41049.0,0.00031611,32.0,0.422,4.074
58,1781.0,41776.0,0.00030831,32.0,0.422,4.1157
59,1811.0,42481.0,0.00030077,32.0,0.42197,4.0889
60,1842.0,43209.0,0.00029301,32.0,0.42212,4.0923
61,1873.0,43937.0,0.00028527,32.0,0.42208,4.0875
62,1903.0,44642.0,0.00027782,32.0,0.42205,4.0531
63,1934.0,45369.0,0.00027018,32.0,0.4222,4.036
64,1965.0,46097.0,0.00026258,32.0,0.42202,4.0266
65,1995.0,46801.0,0.00025528,32.0,0.42216,4.0406
66,2026.0,47529.0,0.00024779,32.0,0.42229,4.0195
67,2057.0,48257.0,0.00024038,32.0,0.42224,3.996
68,2087.0,48961.0,0.00023328,32.0,0.42208,4.0065
69,2118.0,49689.0,0.00022601,32.0,0.42194,3.978
70,2149.0,50417.0,0.00021884,32.0,0.4222,4.0103
71,2179.0,51121.0,0.00021199,32.0,0.4219,3.9836
72,2210.0,51849.0,0.000205,32.0,0.42188,3.9604
73,2241.0,52577.0,0.00019812,32.0,0.42208,3.9316
74,2271.0,53281.0,0.00019157,32.0,0.42209,3.972
75,2302.0,54010.0,0.00018491,32.0,0.422,3.9252
76,2333.0,54737.0,0.00017838,32.0,0.42174,3.922
77,2363.0,55442.0,0.00017218,32.0,0.42207,3.9756
78,2394.0,56170.0,0.00016589,32.0,0.42189,3.92
79,2425.0,56898.0,0.00015975,32.0,0.42206,3.9283
80,2455.0,57603.0,0.00015394,32.0,0.42191,3.9655
81,2486.0,58331.0,0.00014808,32.0,0.42186,3.8956
82,2517.0,59059.0,0.00014238,32.0,0.422,3.9174
83,2547.0,59764.0,0.000137,32.0,0.42184,3.8835
84,2578.0,60492.0,0.00013161,32.0,0.42182,3.8734
85,2609.0,61221.0,0.00012639,32.0,0.42193,3.8884
86,2639.0,61926.0,0.0001215,32.0,0.42182,3.86
87,2670.0,62654.0,0.00011661,32.0,0.42192,3.8891
88,2701.0,63382.0,0.00011191,32.0,0.42182,3.8645
89,2731.0,64087.0,0.00010753,32.0,0.422,3.8646
90,2762.0,64816.0,0.00010319,32.0,0.42188,3.8895
91,2792.0,65521.0,9.9167e-05,32.0,0.4218,3.8711
92,2823.0,66249.0,9.5203e-05,32.0,0.4217,3.8729
93,2854.0,66978.0,9.1438e-05,32.0,0.42182,3.844
94,2884.0,67682.0,8.7986e-05,32.0,0.42185,3.8368
95,2915.0,68410.0,8.4619e-05,32.0,0.42164,3.87
96,2946.0,69139.0,8.1456e-05,32.0,0.42179,3.8502
97,2976.0,69844.0,7.8594e-05,32.0,0.42171,3.8447
